aworld	-1733	361	3898
aworld	-1610	400	4423
aworld	-1455	300	4232
aworld	-1321	137	3391
aworld	-1076	237	2520
aworld	-935	376	2515
aworld	-857	444	3402
aworld	-946	369	4253
aworld	-942	224	4206
aworld	-738	89	3332
aworld	-430	70	2325
aworld	-159	228	1991
aworld	-75	556	3115
aworld	-227	1034	4861
aworld	-56	1025	5522
aworld	587	688	4977
aworld	1129	500	4237
aworld	1458	592	4045
aworld	1632	811	4568
aworld	1735	988	5295
aworld	1817	1172	5730
aworld	2002	1202	5551
aworld	2135	1070	5022
aworld	2086	882	4710
aworld	1928	712	4566
aworld	1751	537	4411
aworld	1611	385	4391
aworld	1485	281	4436
aworld	1321	115	4537
aworld	1159	-41	4587
aworld	1053	-160	4480
aworld	954	-123	4395
aworld	784	-79	4243
aworld	621	-142	3957
aworld	432	-171	3734
aworld	284	-96	3670
aworld	120	13	3656
aworld	-68	144	3467
aworld	-364	84	3135
aworld	-764	-95	2723
aworld	-1244	-51	2648
aworld	-1749	311	2980
aworld	-2241	604	3234
aworld	-2629	623	3156
aworld	-2868	685	3117
aworld	-3431	731	3732
aworld	-4039	760	5056
aworld	-4269	483	5030
aworld	-4483	215	4769
aworld	-4741	9	4293
aworld	-5034	175	4372
aworld	-5319	430	4734
aworld	-5475	520	5107
aworld	-5606	495	5462
aworld	-5584	477	5606
aworld	-5412	119	5160
aworld	-5249	-156	4630
aworld	-5055	-162	4357
aworld	-4739	-59	4117
aworld	-4319	141	4053
aworld	-3910	400	4036
aworld	-3508	614	3811
aworld	-3177	634	3436
aworld	-2893	569	3114
aworld	-2548	562	3170
aworld	-2348	460	3629
aworld	-2155	371	3941
aworld	-1897	323	3798
aworld	-1607	272	3647
aworld	-1311	133	3728
aworld	-988	161	4155
aworld	-749	221	4295
aworld	-551	161	3825
aworld	-344	116	3373
aworld	-352	-102	3355
aworld	-35	-16	3566
aworld	253	275	3677
aworld	431	376	3307
aworld	617	343	2665
aworld	467	207	3258
aworld	481	187	4219
aworld	967	429	4628
aworld	1372	833	4822
aworld	1336	922	5087
aworld	1195	673	4947
aworld	1013	342	4568
aworld	809	-20	4125
aworld	603	-469	3630
aworld	675	-731	3263
aworld	904	-594	3433
aworld	1151	-269	4038
aworld	1376	34	4622
aworld	1536	253	5098
aworld	1669	381	5334
aworld	1755	473	5296
aworld	1741	422	5090
aworld	1558	354	4975
aworld	1308	213	4863
aworld	1115	90	4841
aworld	922	44	4800
aworld	827	36	4590
aworld	715	-23	4246
aworld	589	-57	3898
aworld	372	-84	3665
aworld	20	-223	3689
aworld	-318	-294	3816
aworld	-620	-175	3862
aworld	-890	30	3839
aworld	-1209	67	3707
aworld	-1424	125	3421
aworld	-1691	490	3370
aworld	-2047	845	3482
aworld	-2433	862	3397
aworld	-2640	916	3366
aworld	-2893	1185	3665
aworld	-3129	1480	3948
aworld	-3375	1527	3862
aworld	-3610	1267	3546
aworld	-3925	978	3365
