x,y,z
-19,996,-1845
-134,546,-2423
-153,185,-2599
-149,-65,-2502
-115,-194,-2432
-58,-198,-2401
-14,-196,-2384
53,-199,-2323
125,-194,-2118
194,-109,-1818
226,-35,-1377
232,-5,-944
184,6,-605
135,116,-395
65,282,-29
-57,392,500
-204,391,1233
-219,310,2760
-247,242,4361
-315,-46,5809
-174,-21,6750
-146,-40,7353
-136,-402,7717
33,-775,7921
193,-1117,8019
163,-1430,8077
-39,-1418,8154
-385,-1257,8219
-630,-1247,8218
-713,-1013,8216
-766,-625,8234
-795,71,8287
-739,658,8319
-501,1387,8283
-223,2032,7564
40,2377,6379
240,2378,5199
455,2254,4045
569,2113,2935
582,1982,1820
518,1830,730
347,1486,-407
108,1028,-1411
-113,562,-2173
-270,87,-2715
-334,-450,-3024
-320,-901,-3017
-241,-1205,-2838
-135,-1326,-2648
-19,-1330,-2584
150,-1256,-2532
343,-1066,-2269
490,-783,-1828
566,-387,-1206
551,75,-457
439,441,341
305,679,1041
158,790,1676
6,685,2103
-103,310,3207
-1,116,4366
-72,-267,5798
-190,-560,6782
-256,-896,7376
-205,-1258,7703
-163,-1617,7865
-139,-2003,7927
-89,-2187,7969
-174,-2156,8028
-364,-2123,8063
-489,-1862,8115
-600,-1318,8196
-687,-557,8287
-760,394,8372
-510,1140,8399
-292,1623,8000
53,1991,7366
311,2242,6335
539,2390,5360
702,2441,4213
764,2372,2846
671,2083,1380
474,1660,-45
265,1149,-1205
75,755,-2027
-89,548,-2425
-187,402,-2477
-227,233,-2417
-207,29,-2350
-141,-138,-2275
-90,-190,-2175
-12,-221,-2120
112,-259,-1914
253,-291,-1482
323,-289,-1018
304,-189,-642
210,-81,-339
96,-117,-180
50,-252,-119
24,-324,279
-92,-240,1100
-203,-251,2863
-330,-309,4333
-340,-466,5806
-385,-500,6776
-406,-839,7360
-291,-1158,7722
-129,-1427,7935
-13,-1624,8063
-36,-1604,8178
-236,-1482,8278
-565,-1313,8343
-843,-1218,8343
-877,-904,8373
-790,-486,8428
-574,22,8497
-379,497,8170
23,735,7759
355,959,6976
561,1190,6137
616,1447,5300
672,1616,4461
734,1705,3456
736,1614,2184
664,1359,937
457,1006,84
254,594,-532
90,247,-1064
-41,3,-1489
-144,-118,-1889
-226,-133,-2177
-234,-140,-2314
-143,-150,-2222
-13,-172,-2082
80,-232,-2006
160,-276,-1947
243,-309,-1775
346,-343,-1425
442,-372,-947
494,-331,-496
470,-260,-129
364,-255,161
219,-420,363
86,-615,1474
-4,-665,2407
-192,-791,3563
-243,-714,5259
-339,-497,6492
-449,-340,7324
-504,-171,7895
-505,112,8291
-540,466,8592
-665,317,8725
-760,-256,8653
-760,-1003,8451
-560,-1393,8306
-317,-1391,8257
-174,-1220,8235
18,-743,8247
74,-162,8005
380,276,7918
621,750,7141
801,1136,6024
847,1432,4791
844,1577,3821
863,1680,3051
846,1674,2146
758,1476,1008
597,1061,-165
401,575,-1178
188,88,-1876
-6,-262,-2270
-120,-441,-2468
-137,-501,-2392
-85,-504,-2155
30,-530,-1960
194,-604,-1840
415,-626,-1709
632,-532,-1382
800,-374,-870
881,-129,-279
869,134,275
779,302,777
648,298,1165
511,76,1456
468,-247,1577
375,-832,2662
336,-1074,3695
229,-1420,4960
134,-1570,6142
25,-1426,6943
-260,-1364,7472
-379,-1246,7841
-412,-904,8113
-595,-752,8277
-907,-693,8375
-1257,-683,8410
-1371,-444,8434
-1276,-30,8455
-1057,317,8459
-769,838,8435
-381,1053,8382
-51,1405,7546
289,1902,6542
514,2240,5417
687,2421,4220
799,2394,2778
806,2058,1184
703,1531,-287
482,973,-1402
203,500,-2287
-68,147,-2978
-271,-111,-3380
-375,-315,-3544
-360,-521,-3510
-242,-716,-3306
-85,-895,-3134
65,-933,-3063
170,-811,-2984
292,-517,-2816
413,-178,-2453
523,22,-1853
592,44,-1307
612,108,-967
441,389,-536
301,242,846
211,290,2461
61,458,4108
27,269,5739
61,232,6808
62,-22,7477
34,-251,7927
62,11,8269
-108,166,8438
-454,151,8551
-663,-333,8525
-759,-883,8392
-805,-1331,8260
-832,-1352,8221
-862,-998,8251
-763,-403,8315
-674,84,8335
-383,506,8094
-112,1001,7296
70,1451,6065
131,1744,4790
180,1812,3667
265,1711,2547
333,1460,1251
289,1071,-54
161,663,-1144
24,341,-1887
-114,45,-2331
-224,-231,-2702
-305,-512,-3091
-313,-783,-3494
-245,-942,-3673
-148,-930,-3633
-37,-803,-3446
125,-571,-3131
316,-369,-2703
515,-152,-2051
613,100,-1265
571,602,-572
386,485,961
354,581,2733
113,741,4362
-119,593,5840
-209,265,6780
-131,-237,7338
84,-504,7687
-62,-445,7946
-530,-355,8144
-962,98,8294
-1211,480,8368
-1234,185,8358
-1102,-534,8269
-806,-1107,8179
-492,-1098,8167
-443,-770,8197
-310,-282,8242
-46,392,8248
198,998,7727
488,1355,7044
668,1529,6017
814,1504,4869
964,1485,3726
1023,1452,2457
929,1415,1312
731,1318,298
520,1145,-573
337,851,-1288
214,480,-1758
102,31,-2157
11,-404,-2555
-74,-732,-2872
-102,-971,-2983
-59,-1139,-2991
18,-1225,-3017
120,-1227,-2993
280,-1171,-2833
453,-1008,-2496
586,-735,-2067
648,-363,-1507
602,-36,-863
455,309,-118
401,445,2027
277,615,4151
61,584,5718
50,507,6730
82,416,7381
53,294,7793
-143,425,8087
-542,591,8298
-886,494,8353
-1043,218,8320
-990,-673,8200
-729,-1303,8114
-558,-1457,8100
-442,-1306,8124
-320,-659,8186
-297,290,8168
-244,949,7715
-19,1505,7004
174,1699,6032
365,1601,5014
531,1543,4051
612,1532,3013
518,1447,1849
340,1301,673
115,1101,-338
-101,913,-1084
-294,765,-1708
-456,575,-2233
-512,252,-2509
-423,-243,-2522
-221,-760,-2462
-31,-1116,-2459
100,-1274,-2570
197,-1159,-2611
280,-865,-2401
350,-536,-1882
408,-208,-1234
396,44,-528
301,259,108
187,580,660
-10,369,2094
-123,268,3337
-241,-19,4091
-329,-370,4781
-358,-785,5599
-285,-965,6576
-215,-951,7216
-254,-1124,7605
-324,-866,7890
-439,-335,8089
-685,114,8228
-929,102,8275
-1048,-328,8229
-961,-822,8160
-733,-1022,8139
-528,-818,8167
-495,-293,8158
-366,195,8161
-130,759,7930
85,1221,7050
317,1470,5871
468,1598,4679
555,1634,3777
595,1666,2890
558,1681,1764
413,1580,568
221,1325,-511
27,1016,-1315
-130,656,-1915
-223,261,-2291
-256,-205,-2518
-197,-659,-2692
-103,-976,-2818
-25,-1139,-2959
27,-1145,-3111
111,-1007,-3192
232,-779,-2941
361,-460,-2503
459,-4,-1917
443,523,-1206
276,1030,-307
33,1301,1663
-208,1452,3433
-372,1289,4933
-395,833,6218
-249,302,7007
-152,-83,7487
-138,-349,7786
-28,-441,7983
-69,-616,8079
-121,-1162,8081
-176,-1642,8050
-358,-2085,8005
-499,-2226,7997
-609,-1871,8052
-693,-1208,8130
-684,-368,8212
-447,217,8256
-109,790,8015
186,1231,7105
473,1548,5990
658,1631,4971
878,1621,4083
1028,1573,3068
1001,1510,1837
797,1376,501
496,1139,-683
182,830,-1521
-49,502,-2009
-211,151,-2295
-320,-140,-2515
-396,-334,-2746
-444,-351,-2804
-451,-343,-2702
-372,-406,-2519
-225,-505,-2274
-65,-532,-1968
80,-439,-1699
171,-206,-1429
179,166,-983
94,514,-237
-32,738,760
-184,768,1979
-151,556,3787
-112,444,5044
-14,335,6201
-37,331,7013
-155,193,7519
-146,20,7823
-37,-188,7992
-98,-665,8056
-47,-1401,8033
-13,-1801,8016
-157,-2103,8003
-373,-2181,8008
-169,-1944,8058
-81,-706,8182
-92,170,8087
-40,782,7675
86,1163,6874
221,1276,5869
347,1338,4844
413,1521,3905
416,1707,2882
346,1755,1775
240,1674,792
84,1574,73
-67,1427,-523
-170,1159,-1083
-238,866,-1560
-262,513,-2016
-217,110,-2433
-117,-300,-2622
35,-619,-2635
214,-835,-2535
379,-955,-2367
533,-867,-2056
635,-680,-1616
704,-491,-1238
742,-344,-908
721,-204,-601
614,-30,-150
438,-70,486
381,-70,2426
360,78,4441
239,-67,5868
374,-261,6768
351,-525,7311
265,-946,7635
307,-1308,7828
254,-1230,7980
49,-1129,8083
-242,-1120,8151
-611,-1151,8179
-918,-1268,8157
-979,-1177,8151
-898,-766,8192
-832,-228,8248
-660,23,8273
-259,434,7854
32,891,6876
226,1179,5681
283,1320,4664
365,1405,3788
472,1508,2955
496,1558,1915
442,1438,675
313,1137,-535
169,746,-1470
37,428,-2063
-81,127,-2483
-138,-143,-2850
-140,-357,-3050
-99,-522,-3031
-50,-618,-2970
3,-604,-2885
54,-372,-2738
100,46,-2490
156,527,-1866
147,782,-818
10,774,371
-126,368,1557
-146,162,2663
-163,270,3420
-182,93,4417
-120,-158,5711
54,-557,6632
408,-909,7196
619,-1184,7531
734,-1586,7722
816,-1734,7857
683,-1496,7995
342,-1148,8131
-141,-900,8226
-579,-776,8252
-837,-494,8263
-972,-148,8278
-1083,19,8275
-693,158,8273
-210,513,7941
67,685,7224
328,725,6323
515,891,5383
603,1119,4457
644,1374,3664
634,1582,2785
546,1602,1737
379,1423,657
165,1173,-404
-74,895,-1348
-312,601,-2208
-510,254,-2918
-587,-121,-3361
-544,-460,-3434
-420,-684,-3326
-285,-782,-3182
-152,-705,-3014
31,-481,-2678
230,-122,-1989
358,255,-901
334,556,351
155,741,1452
-129,887,2335
-357,762,3469
-433,681,4438
-489,341,5145
-489,-94,5888
-461,-438,6745
-424,-756,7276
-310,-1119,7591
-55,-1263,7797
-23,-1208,7942
3,-1333,8024
91,-1337,8079
31,-1328,8117
-63,-1409,8132
-204,-1121,8180
-187,-1128,8186
147,-517,8253
331,137,8142
501,527,7740
644,790,7088
767,1037,6214
786,1272,5321
782,1574,4727
749,1958,4070
649,2258,2991
454,2209,1714
234,1869,567
20,1306,-328
-155,728,-1083
-296,184,-1664
-431,-297,-2101
-530,-680,-2462
-562,-918,-2655
-520,-994,-2648
-467,-944,-2570
-436,-771,-2468
-409,-473,-2254
-347,-163,-1814
-214,95,-1220
-77,263,-516
-20,308,164
-26,261,731
-66,376,1141
-82,219,2804
-53,246,4800
-95,187,6104
-27,0,6933
186,-125,7460
329,-431,7766
525,-817,7916
650,-1040,7998
598,-1201,8048
504,-1555,8044
473,-1816,8039
511,-1774,8065
611,-1281,8123
682,-464,8176
705,354,7771
760,1137,7076
732,1644,6348
770,2017,5648
790,2369,4773
658,2536,3556
461,2461,2195
207,2137,863
-53,1661,-336
-297,1099,-1220
-507,548,-1924
-681,68,-2456
-774,-264,-2766
-755,-472,-2778
-691,-566,-2644
-621,-592,-2562
-546,-514,-2540
-515,-324,-2463
-511,-82,-2328
-449,240,-2080
-342,556,-1453
-212,814,-556
-159,989,586
-178,877,1558
-208,848,3602
-87,743,5321
-23,391,6405
153,-422,7048
438,-1132,7422
722,-1668,7642
927,-1791,7797
863,-1802,7902
747,-1518,8002
497,-1254,8076
280,-1297,8103
165,-1386,8114
163,-1222,8144
124,-775,8183
204,-257,8213
364,336,8230
553,726,7960
798,1173,7359
872,1544,6433
932,1875,5599
985,2348,4815
879,2651,3682
666,2603,2168
350,2346,669
-37,1995,-530
-413,1593,-1503
-748,1112,-2314
-1005,660,-2893
-1187,319,-3253
-1282,87,-3326
-1256,-78,-3096
-1139,-239,-2771
-992,-463,-2537
-844,-649,-2387
-698,-726,-2228
-570,-714,-1944
-467,-635,-1529
-372,-560,-932
-280,-564,-365
-198,-500,158
-199,-52,1415
-217,-196,3804
-299,85,5469
-333,360,6536
-189,711,7252
73,596,7703
575,71,7952
1021,-528,8064
1229,-1285,8088
1230,-1646,8113
934,-1916,8129
513,-1865,8168
272,-2137,8168
459,-986,8277
417,-20,8296
522,635,8079
696,1010,7351
861,1263,6502
832,1402,5589
753,1625,4596
608,1876,3495
346,2001,2266
-11,1994,1035
-391,1866,-35
-716,1614,-794
-968,1288,-1408
-1134,884,-1865
-1218,475,-2121
-1211,101,-2259
-1136,-175,-2220
-1024,-376,-2126
-923,-536,-2122
-829,-633,-2181
-737,-605,-2191
-692,-491,-2115
-674,-360,-2029
-637,-189,-1955
-639,38,-1626
-685,240,-855
-704,330,406
-808,389,3024
-586,613,4944
-318,1075,6184
101,1236,7003
677,698,7529
1455,-194,7832
1826,-1160,7967
2094,-1965,8025
1953,-2338,8076
1558,-2676,8118
1102,-2406,8182
668,-2143,8212
