x,y,z
0,-7,4178
6,-4,4180
7,3,4180
3,0,4177
1,-3,4170
0,0,4162
3,1,4165
6,0,4172
8,-3,4180
7,-4,4173
2,-4,4166
6,-1,4167
3,2,4162
0,-1,4168
-3,2,4160
4,1,4166
-1,2,4173
0,6,4183
-2,-1,4178
-7,1,4174
0,3,4169
-1,3,4163
-5,1,4168
-4,3,4173
-4,10,4172
-6,8,4168
-2,5,4166
-1,2,4165
1,-2,4170
1,2,4174
2,5,4183
-1,2,4175
0,-3,4173
-3,-5,4175
2,-5,4170
-4,-9,4169
0,-6,4169
2,0,4168
1,0,4166
-1,3,4166
-3,3,4158
-4,5,4166
-2,3,4174
-1,4,4165
0,4,4166
-2,0,4163
-3,0,4163
0,4,4161
0,0,4160
-3,0,4171
-3,-1,4177
0,0,4175
2,3,4170
1,-1,4170
4,0,4175
1,0,4171
2,-1,4170
-2,2,4168
0,2,4166
0,0,4164
-1,-4,4169
-3,-3,4163
-6,-7,4160
-3,-5,4155
-1,-8,4157
-5,-9,4166
0,-7,4166
6,-3,4166
9,1,4163
6,-1,4165
4,0,4172
4,2,4167
0,-1,4168
1,0,4165
3,-2,4177
3,2,4170
3,5,4166
0,10,4172
3,6,4166
6,6,4173
3,2,4177
7,-1,4170
5,0,4167
4,-5,4168
3,2,4165
5,2,4166
4,3,4162
-2,0,4165
1,-5,4164
2,-4,4166
5,0,4169
8,0,4166
1,1,4163
0,-2,4166
1,1,4176
1,2,4174
0,-6,4179
-2,-5,4177
0,1,4175
4,-2,4178
5,0,4172
0,2,4174
-3,-3,4174
0,-6,4179
-4,-7,4178
0,-9,4172
-3,-5,4180
0,-6,4174
-1,-6,4173
1,-5,4168
1,-3,4170
0,-5,4165
-2,-4,4168
-1,-2,4174
-9,-1,4173
4,1,4174
3,-2,4169
3,-5,4170
1,-2,4165
1,-3,4155
1,-2,4166
2,0,4171
2,0,4174
-1,-1,4171
0,-1,4173
0,-1,4170
0,1,4174
1,-2,4177
6,-1,4176
5,-1,4176
3,-6,4170
2,-7,4168
1,-6,4176
0,-2,4179
-5,6,4180
-1,2,4187
0,-1,4187
-2,0,4178
4,0,4175
3,1,4174
1,3,4170
0,-3,4168
0,-2,4170
-3,-2,4172
2,-4,4168
5,-7,4167
3,-6,4162
2,-2,4162
4,-6,4164
1,-2,4167
0,2,4162
0,1,4164
4,0,4170
6,2,4171
4,0,4175
1,1,4177
-4,1,4172
-4,0,4169
0,-3,4167
-2,2,4175
2,0,4179
9,1,4175
11,2,4165
4,1,4165
8,1,4159
4,0,4158
4,4,4167
5,2,4166
4,4,4167
1,3,4169
-1,1,4173
-3,-1,4173
-4,-1,4170
-3,0,4172
-2,6,4170
2,0,4176
-2,-4,4186
-1,1,4185
-2,-2,4190
-1,-4,4184
-1,-1,4178
-2,-2,4180
-3,3,4183
-3,-2,4182
-3,4,4179
-2,6,4180
0,2,4174
5,0,4171
2,-1,4175
5,-2,4172
8,-2,4178
3,-2,4174
-2,-1,4171
-1,-5,4166
2,-1,4169
0,-3,4168
-5,-4,4174
-4,-5,4172
-5,-9,4170
-2,-7,4168
-2,-13,4169
-1,-9,4172
-1,-10,4178
0,-8,4178
2,-3,4175
5,-6,4173
5,-1,4176
0,4,4173
0,2,4173
-4,2,4173
0,0,4174
-2,-3,4174
5,-2,4181
5,0,4178
-2,0,4177
-2,3,4175
4,4,4176
3,0,4176
1,2,4177
0,2,4171
-3,3,4169
-3,0,4171
-1,2,4176
-4,3,4175
5,2,4174
2,2,4176
-1,0,4179
-3,-1,4177
-2,-2,4183
-3,0,4182
0,0,4176
1,-4,4176
6,-7,4177
5,-4,4177
1,0,4172
1,0,4171
-1,-4,4175
3,-5,4169
7,-2,4170
9,-1,4167
3,-2,4178
5,3,4185
10,4,4180
4,0,4172
1,0,4169
-1,7,4170
0,7,4169
0,8,4166
0,1,4171
-2,0,4175
-3,0,4178
1,0,4175
6,0,4178
1,-2,4172
3,2,4172
1,7,4172
1,5,4180
0,2,4182
-2,3,4172
-1,0,4169
-3,0,4167
0,0,4166
0,-1,4176
-1,0,4176
-4,1,4178
-3,-6,4183
-1,-7,4176
-3,-10,4172
0,-6,4163
-1,-2,4172
0,-1,4164
-1,-2,4163
0,-2,4170
-3,-3,4167
-1,-3,4169
-2,-2,4166
0,-2,4165
4,-6,4166
1,-3,4163
1,-5,4166
-4,-2,4167
-1,0,4179
-6,1,4178
-2,-1,4181
1,6,4176
4,6,4169
0,0,4169
0,-7,4169
-2,-3,4168
0,-2,4165
0,-2,4170
0,-4,4170
-4,0,4174
-6,0,4172
-6,-2,4174
-5,-2,4170
-7,-1,4165
-4,-4,4165
-1,1,4172
0,-4,4170
-3,-3,4178
-3,1,4172
3,0,4166
3,-4,4173
0,-7,4171
-3,-5,4167
-5,-5,4168
-4,-2,4173
-3,-2,4165
-1,0,4173
0,1,4171
4,-3,4172
2,-1,4165
2,0,4172
1,0,4172
-1,4,4173
3,2,4173
0,4,4169
1,5,4167
-1,7,4173
-3,4,4176
-3,2,4179
3,0,4175
0,1,4174
0,0,4168
0,-2,4172
1,-4,4174
0,1,4177
0,3,4176
-4,2,4172
-1,0,4166
-8,1,4173
-3,0,4169
-2,4,4171
0,0,4161
-1,-6,4166
0,-5,4169
0,-3,4164
-3,-8,4168
0,-3,4172
-4,-1,4175
-8,0,4169
-7,-2,4168
0,-2,4172
6,0,4170
5,0,4166
0,0,4173
1,0,4177
2,-2,4173
3,-4,4179
-2,1,4177
-5,-2,4173
-2,-7,4167
-4,-3,4161
-4,-4,4168
-2,-6,4168
0,1,4170
0,-4,4175
3,1,4174
0,3,4176
-3,1,4179
-3,6,4172
-2,3,4169
1,0,4166
1,2,4172
4,-2,4171
4,-2,4174
5,-6,4177
0,-2,4176
-1,-3,4171
3,-1,4165
1,-2,4162
-5,-5,4160
-4,-6,4158
-1,-5,4163
0,-1,4167
3,-2,4167
4,-3,4169
1,0,4175
6,-1,4178
0,-2,4177
-2,-2,4178
3,2,4176
2,0,4172
0,-1,4176
-5,0,4175
-1,0,4169
0,-6,4166
-2,-4,4171
0,-6,4175
-1,-7,4174
3,-11,4167
2,-9,4166
1,-3,4163
-6,0,4165
-7,-1,4171
-3,-1,4173
2,-2,4164
0,-3,4160
2,1,4162
0,7,4166
4,0,4162
2,2,4167
0,8,4164
-1,7,4168
3,7,4170
0,8,4160
1,11,4161
0,8,4157
2,2,4160
-2,3,4171
-1,2,4169
2,6,4173
4,3,4174
4,-1,4170
8,-2,4163
4,-1,4159
-1,-2,4161
-10,0,4161
-6,-1,4159
-4,-5,4160
-5,-10,4160
0,-6,4164
0,-6,4166
2,-11,4170
-1,-11,4168
0,-8,4166
2,-1,4173
-2,0,4174
0,4,4166
-1,0,4173
0,1,4174
-3,2,4169
-6,7,4165
-6,6,4172
-5,0,4168
3,0,4170
0,0,4169
0,0,4164
-2,3,4167
-1,2,4169
0,4,4164
3,1,4166
3,5,4163
3,2,4165
-8,1,4168
-6,0,4174
-7,-1,4179
-7,9,4180
-6,7,4176
-5,7,4178
-4,-3,4174
-3,-1,4172
-2,-2,4168
1,-3,4173
13,-7,4172
14,0,4166
9,-3,4167
6,3,4163
4,-1,4164
4,2,4164
5,1,4168
4,3,4172
0,8,4170
-2,8,4169
2,3,4174
0,0,4176
1,2,4172
-3,-3,4168
-6,-5,4180
-3,-6,4175
-3,-3,4178
-4,2,4179
-2,1,4175
-4,-1,4169
-4,1,4164
-6,0,4174
-7,0,4176
-4,0,4170
2,1,4176
3,2,4179
2,4,4182
-1,0,4177
6,0,4179
0,-2,4167
4,-1,4166
7,0,4164
8,0,4167
11,0,4167
10,-1,4171
7,1,4174
1,4,4178
-1,5,4180
-2,2,4180
2,-1,4178
0,1,4176
2,2,4178
1,1,4174
1,-2,4173
1,-1,4178
0,0,4173
1,1,4166
3,2,4170
2,-1,4166
7,-1,4169
0,-2,4169
2,-2,4172
0,-2,4171
1,3,4172
2,0,4174
0,-7,4177
-3,-4,4174
-4,-2,4171
-4,0,4171
-2,5,4170
2,0,4172
1,0,4168
4,-5,4167
2,-2,4168
-2,0,4172
-3,2,4179
-3,3,4181
-5,1,4178
-5,0,4173
-1,0,4172
2,0,4172
6,0,4172
4,-6,4166
3,-8,4165
2,-7,4166
2,-4,4170
1,-4,4168
4,-5,4168
4,-3,4178
7,2,4179
10,3,4174
9,0,4168
3,-3,4167
-1,-2,4163
0,-4,4156
0,-2,4167
0,0,4164
-6,0,4168
-8,-2,4174
-5,1,4177
-4,3,4175
-4,3,4167
-4,0,4172
-3,3,4171
1,-2,4166
2,-3,4165
4,-3,4169
3,-4,4172
2,0,4164
0,5,4167
-1,5,4167
-2,0,4167
-3,-3,4167
-2,0,4168
-4,2,4165
0,1,4163
0,3,4164
-3,5,4175
0,4,4174
0,2,4174
1,-2,4173
-1,-7,4172
-1,-2,4176
0,-1,4181
-1,-8,4188
0,-2,4175
-5,-3,4185
-3,-5,4178
-6,-4,4168
1,-7,4168
6,-9,4171
1,0,4177
5,0,4183
0,1,4180
1,1,4174
7,-1,4174
5,-3,4173
1,-3,4167
1,0,4170
4,0,4171
5,0,4166
2,-1,4170
-3,1,4173
2,-1,4171
4,0,4171
0,-3,4167
-1,1,4166
1,2,4169
0,-1,4173
-1,0,4179
-1,5,4175
-2,7,4180
-1,5,4169
-4,3,4167
0,0,4163
3,4,4174
5,5,4176
5,1,4169
2,3,4170
1,2,4165
3,2,4167
0,3,4167
4,2,4163
5,4,4166
4,2,4164
2,0,4160
4,0,4158
4,-2,4169
5,-3,4165
7,0,4167
9,2,4169
7,0,4168
3,-2,4167
7,-2,4168
1,0,4169
