x,y,z
1706,-586,4044
1421,-718,3880
1198,-765,3772
1109,-645,3841
1114,-336,4037
1145,-36,4025
1125,98,3760
1010,135,3407
890,237,3279
514,250,3420
-52,59,3736
-652,-225,4057
-1087,-333,4243
-1316,-285,4075
-1558,-190,3739
-1765,-86,3510
-2107,-33,3523
-2395,-34,3624
-2536,25,3759
-2571,251,3682
-2460,480,3211
-2528,634,3075
-2846,591,3223
-3133,648,3490
-3280,914,3717
-3283,1364,3816
-3274,1877,3905
-3451,2046,3963
-3863,1987,4178
-4214,2052,4413
-4378,2145,4530
-4511,2141,4701
-4631,2047,4909
-4673,1921,4985
-4468,1868,4914
-4169,1945,4962
-3896,1962,5085
-3675,1842,5036
-3494,1671,4686
-3262,1460,4134
-3091,1236,3673
-2909,1036,3311
-2750,914,3270
-2552,878,3603
-2279,917,3903
-1980,860,4001
-1764,620,3868
-1365,568,3763
-855,781,3822
-408,964,4207
-260,978,4537
-235,774,4291
-299,489,3527
-385,266,2555
-213,69,1689
18,133,1907
45,235,3071
92,461,4459
219,362,4718
445,106,3913
673,-130,2873
684,-387,2567
765,-246,3352
1069,203,4351
1604,638,4929
1959,613,5041
2183,292,4971
2229,53,5125
2140,-98,5577
2260,123,5945
2215,174,5889
2085,-58,5400
1843,-325,5026
1561,-443,4892
1304,-598,4680
992,-789,4582
636,-891,4564
360,-944,4418
130,-962,4227
-49,-808,4096
-137,-514,4003
-268,-250,3847
-364,-9,3559
-486,351,3365
-792,846,3299
-1054,1258,3088
-1299,1650,2997
-1556,1706,2941
-1803,1835,3066
-2105,2076,3290
-2448,2286,3445
-2782,2502,3537
-3176,2756,3899
-3351,2967,3837
-3603,2907,3539
-4035,2670,3403
-4615,2496,3931
-5060,2274,4672
-5356,2084,5434
-5486,1876,5827
-5421,1502,5513
-5250,1245,4996
-5032,1060,4547
-4603,972,4144
-4073,1123,4259
-3553,1343,4659
-3056,1461,4735
-2663,1404,4415
-2473,1280,4144
-2353,1088,3945
-2194,830,3739
-1987,649,3811
-1796,641,3978
-1508,700,3863
-1289,672,3648
-962,630,3656
-693,630,4036
-397,629,4271
-109,699,4102
68,704,3664
-61,518,3438
-331,292,3388
-535,98,3152
-575,-12,2586
-359,-51,1876
178,95,2110
397,531,3384
473,657,4340
572,447,4468
794,22,3787
1302,-101,3376
1747,235,3934
2111,571,4839
2319,622,5421
2409,486,5569
2328,265,5321
2146,-33,4882
1925,-173,4589
1698,-218,4364
