aworld	1046	135	-1250
aworld	1230	98	-732
aworld	1294	85	-432
aworld	1178	109	-436
aworld	910	146	-602
aworld	587	185	-662
aworld	321	202	-520
aworld	134	250	3
aworld	-97	345	660
aworld	-312	126	2017
aworld	-365	-78	3335
aworld	-456	-323	4903
aworld	-498	-756	6148
aworld	-472	-1063	6945
aworld	-458	-1392	7445
aworld	-449	-1611	7778
aworld	-550	-1439	8075
aworld	-788	-1202	8315
aworld	-1067	-965	8475
aworld	-1256	-988	8483
aworld	-1072	-895	8445
aworld	-753	-729	8422
aworld	-472	-466	8434
aworld	-56	205	8490
aworld	211	672	8308
aworld	678	1364	7614
aworld	750	1693	6333
aworld	926	1722	5161
aworld	1050	1701	3942
aworld	1059	1598	2473
aworld	887	1396	849
aworld	592	1238	-583
aworld	269	1183	-1800
aworld	-13	1171	-2590
aworld	-203	1081	-2963
aworld	-297	897	-3033
aworld	-310	638	-3027
aworld	-300	383	-3062
aworld	-233	228	-3068
aworld	-163	101	-3020
aworld	-61	-25	-2960
aworld	79	-116	-2793
aworld	264	-191	-2480
aworld	414	-80	-1975
aworld	467	247	-1372
aworld	422	597	-768
aworld	337	762	-213
aworld	228	742	298
aworld	98	664	836
aworld	-31	685	1332
aworld	-178	350	2844
aworld	-180	233	4460
aworld	-268	264	5983
aworld	-296	129	6993
aworld	-56	-426	7537
aworld	295	-1543	7670
aworld	726	-2806	7581
aworld	1011	-3562	7517
aworld	982	-3662	7587
aworld	520	-3382	7745
aworld	-99	-2804	7938
aworld	-672	-1979	8130
aworld	-983	-1049	8299
aworld	-984	-224	8425
aworld	-680	346	8483
aworld	-205	927	8189
aworld	247	775	7981
aworld	639	991	7207
aworld	727	1254	6170
aworld	790	1508	5073
aworld	739	1760	3777
aworld	605	1869	2287
aworld	392	1806	903
aworld	147	1620	-183
aworld	-72	1417	-1053
aworld	-250	1196	-1743
aworld	-355	955	-2262
aworld	-392	674	-2540
aworld	-385	513	-2583
aworld	-299	475	-2414
aworld	-163	484	-2191
aworld	0	405	-2111
aworld	193	241	-2111
aworld	414	4	-2023
aworld	644	-267	-1787
aworld	821	-419	-1457
aworld	867	-381	-1114
aworld	790	-254	-777
aworld	660	-23	-331
aworld	462	248	269
aworld	212	343	1001
aworld	0	293	1603
aworld	-190	-93	2955
aworld	-295	-248	4050
aworld	-505	-341	5548
aworld	-684	-435	6677
aworld	-701	-632	7382
aworld	-607	-1094	7752
aworld	-351	-1771	7884
aworld	20	-2304	7911
aworld	174	-2643	7923
aworld	108	-2649	7990
aworld	-190	-2444	8074
aworld	-424	-1954	8171
aworld	-551	-1289	8259
aworld	-529	-692	8315
aworld	-285	-138	8358
aworld	100	527	8338
aworld	393	400	8166
aworld	842	850	7393
aworld	826	1315	6435
aworld	805	1645	5396
aworld	749	1893	4363
aworld	678	2047	3182
aworld	537	2023	1878
aworld	336	1969	675
aworld	73	1931	-266
aworld	-168	1887	-961
aworld	-366	1725	-1581
aworld	-481	1380	-2158
aworld	-469	919	-2584
aworld	-340	429	-2718
aworld	-139	30	-2583
aworld	63	-159	-2417
aworld	205	-185	-2406
aworld	324	-111	-2457
aworld	445	-31	-2307
aworld	570	36	-1934
aworld	632	59	-1494
aworld	655	41	-1097
aworld	637	-64	-605
aworld	609	-149	-118
aworld	510	-125	319
aworld	314	-79	729
aworld	90	-275	1135
aworld	-77	-819	2509
aworld	-141	-1076	3647
aworld	-307	-1209	5180
aworld	-381	-1187	6376
aworld	-403	-1154	7170
aworld	-318	-1374	7643
aworld	-138	-1429	7978
aworld	-144	-1133	8291
aworld	-397	-701	8595
aworld	-785	-453	8765
aworld	-1066	-577	8716
aworld	-1092	-722	8587
aworld	-991	-748	8496
aworld	-776	-587	8462
aworld	-410	-176	8475
aworld	-116	316	8289
aworld	390	751	8257
aworld	654	1256	7513
aworld	896	1681	6631
aworld	1068	1889	5675
aworld	1250	2020	4631
aworld	1364	2051	3272
aworld	1288	1863	1636
aworld	1005	1551	-107
aworld	616	1066	-1733
aworld	236	577	-2869
aworld	1	254	-3505
aworld	-46	8	-3582
aworld	38	-150	-3218
aworld	129	-187	-2842
aworld	157	-156	-2677
aworld	160	-94	-2667
aworld	199	-76	-2680
aworld	300	-147	-2558
aworld	397	-186	-2293
aworld	444	-186	-1955
aworld	471	-260	-1612
aworld	465	-376	-1344
aworld	423	-423	-1219
aworld	310	-242	-1045
aworld	131	45	-700
aworld	-61	273	-184
aworld	-250	198	1683
aworld	-349	303	3979
aworld	-594	481	5702
aworld	-863	506	6801
aworld	-895	193	7439
aworld	-707	-545	7741
aworld	-303	-1440	7835
aworld	98	-2374	7808
aworld	344	-2821	7816
aworld	157	-2896	7881
aworld	-301	-2615	8001
aworld	-758	-1644	8218
aworld	-1173	-364	8425
aworld	-1347	821	8580
aworld	-1118	1664	8670
aworld	-690	2134	8682
aworld	-33	2138	8359
aworld	571	2202	7187
aworld	960	2268	5564
aworld	1142	2097	4171
aworld	1252	1906	3044
aworld	1232	1827	1905
aworld	1091	1715	636
aworld	764	1511	-687
aworld	363	1205	-1932
aworld	-5	728	-2918
aworld	-276	198	-3540
aworld	-442	-217	-3782
aworld	-503	-529	-3711
aworld	-508	-768	-3535
aworld	-480	-937	-3282
aworld	-380	-1051	-3097
aworld	-253	-1079	-3006
aworld	-117	-995	-2859
aworld	-2	-710	-2501
aworld	47	-362	-1998
aworld	69	-70	-1463
aworld	54	193	-1082
aworld	27	412	-785
aworld	11	576	-227
aworld	-96	588	814
aworld	-278	656	2004
aworld	-372	713	3744
aworld	-403	729	5411
aworld	-368	719	6684
aworld	-275	219	7400
aworld	-44	-570	7731
aworld	214	-1480	7834
aworld	463	-2112	7867
aworld	460	-2338	7931
aworld	192	-2287	8026
aworld	-252	-2212	8080
aworld	-582	-1948	8130
aworld	-744	-1410	8215
aworld	-754	-740	8312
aworld	-490	-19	8402
aworld	-159	737	8130
aworld	405	872	8039
aworld	806	1113	6972
aworld	1060	1398	5792
aworld	1246	1573	4647
aworld	1366	1681	3552
aworld	1406	1718	2409
aworld	1314	1645	1143
aworld	1033	1479	-249
aworld	626	1241	-1544
aworld	264	951	-2584
aworld	-14	671	-3188
aworld	-156	362	-3471
aworld	-151	125	-3349
aworld	-77	9	-2978
aworld	-9	-66	-2615
aworld	28	-75	-2458
aworld	91	-61	-2337
aworld	192	3	-2153
aworld	325	101	-1898
aworld	417	219	-1529
aworld	489	376	-1051
aworld	457	541	-449
aworld	297	620	118
aworld	86	624	667
aworld	-157	552	1056
aworld	-392	369	2215
aworld	-561	200	3416
aworld	-644	-66	4753
aworld	-752	-369	6049
aworld	-625	-663	6878
aworld	-445	-1001	7382
aworld	-316	-1417	7664
aworld	-207	-1749	7820
aworld	-103	-1944	7923
aworld	-84	-1907	8019
aworld	-227	-2041	8045
aworld	-344	-2202	8031
aworld	-383	-2029	8063
aworld	-391	-1591	8136
aworld	-310	-980	8226
aworld	-85	-359	8292
aworld	101	299	7762
aworld	408	655	7631
aworld	545	914	6681
aworld	667	1361	5744
aworld	733	1665	4752
aworld	765	1926	3899
aworld	707	2224	2879
aworld	483	2433	1643
aworld	196	2333	354
aworld	-51	1973	-764
aworld	-218	1480	-1621
aworld	-298	1054	-2186
aworld	-333	709	-2528
aworld	-309	396	-2765
aworld	-240	45	-2942
aworld	-108	-234	-3020
aworld	10	-382	-3048
aworld	120	-329	-2970
aworld	213	-83	-2683
aworld	310	298	-2071
aworld	404	673	-1250
aworld	464	934	-456
aworld	465	1007	160
aworld	400	939	646
aworld	234	843	1141
aworld	-75	777	1436
aworld	-338	437	2320
aworld	-394	323	3369
aworld	-468	27	5044
aworld	-586	-110	6351
aworld	-699	-252	7170
aworld	-639	-554	7636
aworld	-427	-1254	7815
aworld	18	-2193	7801
aworld	401	-3065	7729
aworld	598	-3733	7667
aworld	505	-3741	7724
aworld	219	-3377	7835
aworld	29	-2672	7975
aworld	-95	-1836	8105
aworld	-138	-1054	8202
aworld	-47	-66	8290
aworld	-113	542	8092
aworld	205	1279	7651
aworld	249	1753	6834
aworld	371	2098	5999
aworld	469	2341	5043
aworld	509	2488	3801
aworld	412	2489	2410
aworld	213	2326	1015
aworld	-31	2071	-253
aworld	-250	1805	-1365
aworld	-411	1489	-2231
aworld	-513	1158	-2854
aworld	-551	838	-3167
aworld	-491	527	-3236
aworld	-353	325	-3104
aworld	-212	205	-2987
aworld	-109	134	-2933
aworld	-5	110	-2825
aworld	166	109	-2497
