x,y,z,label
4,-6,4164,0
1,-2,4167,0
0,2,4162,0
0,1,4164,0
4,0,4170,0
6,2,4171,0
4,0,4175,0
1,1,4177,0
-4,1,4172,0
-4,0,4169,0
0,-3,4167,0
-2,2,4175,0
2,0,4179,0
9,1,4175,0
11,2,4165,0
4,1,4165,0
8,1,4159,0
4,0,4158,0
4,4,4167,0
5,2,4166,0
4,4,4167,0
1,3,4169,0
-1,1,4173,0
-3,-1,4173,0
-4,-1,4170,0
-3,0,4172,0
-2,6,4170,0
2,0,4176,0
-2,-4,4186,0
-1,1,4185,0
-2,-2,4190,0
-1,-4,4184,0
-1,-1,4178,0
-2,-2,4180,0
-3,3,4183,0
-3,-2,4182,0
-3,4,4179,0
-2,6,4180,0
0,2,4174,0
5,0,4171,0
2,-1,4175,0
5,-2,4172,0
8,-2,4178,0
3,-2,4174,0
-2,-1,4171,0
-1,-5,4166,0
2,-1,4169,0
0,-3,4168,0
-5,-4,4174,0
-4,-5,4172,0
-5,-9,4170,0
-2,-7,4168,0
-2,-13,4169,0
-1,-9,4172,0
-1,-10,4178,0
0,-8,4178,0
2,-3,4175,0
5,-6,4173,0
5,-1,4176,0
0,4,4173,0
0,2,4173,0
-4,2,4173,0
0,0,4174,0
-2,-3,4174,0
5,-2,4181,0
5,0,4178,0
-2,0,4177,0
-2,3,4175,0
4,4,4176,0
3,0,4176,0
1,2,4177,0
0,2,4171,0
-3,3,4169,0
-3,0,4171,0
-1,2,4176,0
-4,3,4175,0
5,2,4174,0
2,2,4176,0
-1,0,4179,0
-3,-1,4177,0
-2,-2,4183,0
-3,0,4182,0
0,0,4176,0
1,-4,4176,0
6,-7,4177,0
5,-4,4177,0
1,0,4172,0
1,0,4171,0
-1,-4,4175,0
3,-5,4169,0
7,-2,4170,0
9,-1,4167,0
3,-2,4178,0
5,3,4185,0
10,4,4180,0
4,0,4172,0
1,0,4169,0
-1,7,4170,0
0,7,4169,0
0,8,4166,0
0,1,4171,0
-2,0,4175,0
-3,0,4178,0
1,0,4175,0
6,0,4178,0
1,-2,4172,0
